protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D5,8IRV,CCN(CC)CCCC(C)Nc1cnc(cn1)C(=O)Nc1cc(F)cc2cccnc12,Ki,2830,5.548213564
Dopamine RECEPTOR D5,8IRV,Fc1ccc(SCCCN2CCN(CC2)c2ccc(Cl)cc2)cc1,Ki,2808,5.551602897
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCNC(=O)\N=N\c2ccc(F)cc2)CC1,Ki,2800,5.552841969
Dopamine RECEPTOR D5,8IRV,Oc1ccc2[C@@H]3CNCC[C@H]3[C@@H](Cc2c1O)c1ccccc1,Ki,2800,5.552841969
Dopamine RECEPTOR D5,8IRV,COc1ccc(CCNCC(O)COc2ccc(CCc3nc(c[nH]3)-c3cccs3)cc2)cc1OC,Ki,2790,5.554395797
Dopamine RECEPTOR D5,8IRV,Fc1ccc(OCCCN2CCN(CC2)c2ccc(Cl)cc2)cc1,Ki,2684,5.571217489
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(C)CCc3ccccc3Cc2cc1OC,Ki,2610,5.583359493
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,2590,5.586700236
Dopamine RECEPTOR D5,8IRV,Cc1ccc(nc1)N1CCN(CCCOc2ccc(F)cc2)CC1,Ki,2576,5.589054141
Dopamine RECEPTOR D5,8IRV,Fc1ccc(cc1)C(=O)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,Ki,2500,5.602059991
Dopamine RECEPTOR D5,8IRV,NCCc1ccc(O)c(O)c1,Ki,2440,5.612610174
Dopamine RECEPTOR D5,8IRV,COc1cc2CCN(C)[C@H]3Cc4cc5OCOc5cc4-c(c1OC)c23,Ki,2397,5.620331966
Dopamine RECEPTOR D5,8IRV,Fc1ccc(OCCCN2CCN(CC2)c2ccccn2)cc1,Ki,2392,5.621238825
