protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,CC1Cc2ccccc2N1C(=O)CN1CCN(CC1)c1ccc(Cl)cc1,Ki,5745,5.240709967
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1Cl,Ki,5740,5.241088108
Dopamine RECEPTOR D4,8IRU,Cn1nnc(n1)-c1ccc2n(cc(C3CCN(CCN4CCOC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,5700,5.244125144
Dopamine RECEPTOR D4,8IRU,O[C@H]1[C@@H]2CCC[C@]1(CCN2CCCCNC(=O)c1cc2ccccc2[nH]1)c1cccc(O)c1,Ki,5630,5.249491605
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1ccccc21,Ki,5520,5.258060922
Dopamine RECEPTOR D4,8IRU,CCc1cccc(N2CCN(CC(O)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1Cl,Ki,5520,5.258060922
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1ccccc21,Ki,5515,5.258454483
Dopamine RECEPTOR D4,8IRU,CCOC(=O)\C=C1/[C@@H]2CCC[C@]1(CCN2CCc1ccccc1)c1cccc(O)c1,Ki,5470,5.262012674
Dopamine RECEPTOR D4,8IRU,COc1cc(CCNC[C@@H](O)c2ccc(O)c3NC(=O)COc23)ccc1OCCCc1ccccc1,Ki,5400,5.26760624
Dopamine RECEPTOR D4,8IRU,FC(CCNC(=O)c1cc2ccccc2o1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,5340,5.272458743
Dopamine RECEPTOR D4,8IRU,CCc1cc(Cl)c(OC)c(c1)N1CCN(CC(O)CCNC(=O)c2cc3ccccc3o2)CC1,Ki,5290,5.276544328
Dopamine RECEPTOR D4,8IRU,CCc1cc(Cl)c(OC)c(c1)N1CCN(CCC(O)CCNC(=O)c2cc3ccccc3o2)CC1,Ki,5285,5.276955008
Dopamine RECEPTOR D4,8IRU,Cn1cc(CN2CCC(O)(CC2)c2ccc(Cl)cc2)c2ccccc12,Ki,5140,5.289036881
Dopamine RECEPTOR D4,8IRU,CCCN1CCO[C@H]2[C@H]1CCc1ccc(cc21)C(N)=O,Ki,5129,5.289967301
Dopamine RECEPTOR D4,8IRU,CCCC1CC2=C(OCC=N2)[C@]2(NC(=O)CC(O)=O)C=CCCC12,Ki,5129,5.289967301
Dopamine RECEPTOR D4,8IRU,CN[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1,Ki,5100,5.292429824
Dopamine RECEPTOR D4,8IRU,Oc1ccc2C3Cc4ccccc4CN3CCc2c1,Ki,5092,5.293111605
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c2cccc1-c1ccncc1,Ki,5060,5.295849483
Dopamine RECEPTOR D4,8IRU,COc1cc2CCN(C)CCCc3ccccc3Cc2cc1OC,Ki,5048,5.296880654
Dopamine RECEPTOR D4,8IRU,Oc1ccc(N2CCCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c2ccc(=O)oc12,Ki,5000,5.301029996
Dopamine RECEPTOR D4,8IRU,Clc1ccc(nc1)N1CCN(CC(=O)Nc2cccnc2)CC1,Ki,5000,5.301029996
Dopamine RECEPTOR D4,8IRU,Cn1cnc(n1)-c1ccc2n(cc(C3CCN(CCN4CCOC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,4900,5.30980392
Dopamine RECEPTOR D4,8IRU,CN1CCCN(CC1)c1ccc(O)c2NC(=O)COc12,Ki,4900,5.30980392
Dopamine RECEPTOR D4,8IRU,O[C@H](CCNC(=O)c1cc2ccccc2[nH]1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,4900,5.30980392
Dopamine RECEPTOR D4,8IRU,FC(F)(F)c1cc(Oc2nccc3ccsc23)ccc1-c1cccc2nccn12,Ki,4900,5.30980392
Dopamine RECEPTOR D4,8IRU,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2N(NC(=O)c2c(C)cccc2N)c2ccccc12,Ki,4846,5.31461659
Dopamine RECEPTOR D4,8IRU,COC(=O)c1cccc2[C@H]3[C@H](CCc12)N(C)CCc1cc(Cl)c(O)cc31,Ki,4830,5.316052869
Dopamine RECEPTOR D4,8IRU,Clc1ccc(cc1)-c1cc([nH]n1)C1CCCCN1Cc1ccccc1,Ki,4800,5.318758763
Dopamine RECEPTOR D4,8IRU,CCCN1CCC[C@H]2Cc3[nH]ncc3C[C@H]12,Ki,4700,5.327902142
Dopamine RECEPTOR D4,8IRU,CC(C)(C)c1nc(cc(n1)C(F)(F)F)N1CCN(CCCCNC(=O)c2cc3ccccn3n2)CC1,Ki,4700,5.327902142
Dopamine RECEPTOR D4,8IRU,OC(CCNC(=O)c1ccc(cc1)-c1ccccn1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,4620,5.335358024
Dopamine RECEPTOR D4,8IRU,C(N1CCN(CC1)C1CCCCC1)c1cnn2ccccc12,Ki,4500,5.346787486
Dopamine RECEPTOR D4,8IRU,CN(C)[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1,Ki,4500,5.346787486
Dopamine RECEPTOR D4,8IRU,Cc1cc(Oc2nccc3occc23)ccc1-c1c(C)ncc2nccn12,Ki,4500,5.346787486
Dopamine RECEPTOR D4,8IRU,C(CN1CCCCC1)Oc1ccccc1Cc1ccccc1,Ki,4476,5.349109922
Dopamine RECEPTOR D4,8IRU,C(N1CCN(CC1)C1CCCCC1)c1cnn2ccccc12,Ki,4460,5.350665141
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCCCc3cn(nn3)-c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,Ki,4450,5.351639989
Dopamine RECEPTOR D4,8IRU,CC(=O)NCC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,Ki,4450,5.351639989
Dopamine RECEPTOR D4,8IRU,C1CN(CCN1[C@H]1CCNC(=NC1)c1ccccc1)c1ccccc1,Ki,4400,5.356547324
Dopamine RECEPTOR D4,8IRU,CN1c2ccccc2CCC(N2CCN(Cc3ccc(C)cc3)CC2)C1=O,Ki,4377,5.358823453
